zip,city,longitude,latitude,pop,state
02032,East Walpole,-71.2179,42.15324,3844,MA
02035,Foxboro,-71.244127,42.064938,14293,MA
02038,Franklin,-71.405786,42.09347,22128,MA
02043,Hingham,-70.891051,42.224485,19821,MA
02045,Hull,-70.875442,42.285346,10466,MA
02048,Mansfield,-71.217775,42.021238,16676,MA
02050,Marshfield,-70.69931,42.106177,21782,MA
02052,Medfield,-71.304813,42.184525,10531,MA
02053,Medway,-71.421715,42.151363,9902,MA
02054,Millis,-71.360693,42.166938,7613,MA
02056,Norfolk,-71.326934,42.117746,9259,MA
02061,Norwell,-70.82172,42.159574,9279,MA
02062,Norwood,-71.203313,42.186843,28700,MA
02066,Scituate,-70.752476,42.203235,16535,MA
02067,Sharon,-71.175872,42.109388,15873,MA
02071,South Walpole,-71.275235,42.099203,752,MA
02072,Stoughton,-71.107357,42.125279,26777,MA
02081,Walpole,-71.254391,42.144413,15615,MA
02090,Westwood,-71.210426,42.214824,12557,MA
02093,Wrentham,-71.339568,42.061746,9006,MA
02108,Boston,-71.068432,42.357603,3697,MA
02109,Boston,-71.053386,42.362963,3926,MA
02110,Boston,-71.051417,42.357636,957,MA
02111,Boston,-71.0629,42.350348,3759,MA
02113,Boston,-71.055958,42.365656,6698,MA
02114,Boston,-71.06823,42.361111,10246,MA
02115,Boston,-71.092215,42.342706,25597,MA
02116,Boston,-71.076798,42.349201,17459,MA
02118,Roxbury,-71.075627,42.340154,21914,MA
02119,Roxbury,-71.086923,42.322414,25207,MA
02120,Roxbury,-71.097978,42.332844,14212,MA
02121,Dorchester,-71.08305,42.307503,25602,MA
02122,Dorchester,-71.058304,42.297278,21266,MA
02124,Dorchester,-71.072898,42.287984,48560,MA
02125,Dorchester,-71.061924,42.315305,31393,MA
02126,Mattapan,-71.093871,42.273889,27808,MA
02127,South Boston,-71.043792,42.333454,29170,MA
02128,East Boston,-71.028682,42.378137,32941,MA
02129,Charlestown,-71.062715,42.377815,14775,MA
02130,Jamaica Plain,-71.111495,42.312596,36571,MA
02131,Roslindale,-71.129543,42.283615,32677,MA
02132,West Roxbury,-71.158868,42.27868,26366,MA
02134,Allston,-71.132866,42.353519,23775,MA
02135,Brighton,-71.156599,42.34779,35011,MA
02136,Hyde Park,-71.126052,42.253989,24260,MA
02138,Cambridge,-71.125611,42.377045,33841,MA
02139,Cambridge,-71.104155,42.364688,33149,MA
02140,North Cambridge,-71.129379,42.391366,16313,MA
02141,East Cambridge,-71.088277,42.370701,10392,MA
02142,Cambridge,-71.083011,42.362025,1336,MA
02143,Somerville,-71.102814,42.382945,25597,MA
02144,Somerville,-71.122059,42.40032,26374,MA
02145,Somerville,-71.092944,42.390678,24422,MA
02146,Brookline,-71.128917,42.339158,56614,MA
02148,Malden,-71.060507,42.42911,54114,MA
02149,Everett,-71.051448,42.411199,35493,MA
02150,Chelsea,-71.032521,42.396252,28790,MA
02151,Revere,-71.005165,42.413767,42766,MA
02152,Winthrop,-70.980043,42.376294,18907,MA
02154,North Waltham,-71.236497,42.382492,57871,MA
02155,Medford,-71.108686,42.417335,57338,MA
02158,Newtonville,-71.1902,42.353835,13271,MA
02159,Newton Center,-71.191839,42.318889,18726,MA
02160,Newtonville,-71.208771,42.351961,8872,MA
02161,Newton Highlands,-71.209347,42.318512,6657,MA
02162,Newtonville,-71.258025,42.330296,1427,MA
02163,Cambridge,-71.141879,42.364005,0,MA
02164,Newton Upper Fal,-71.221615,42.312562,2597,MA
02165,Newtonville,-71.22795,42.352366,12027,MA
02166,Auburndale,-71.247598,42.345928,6123,MA
02167,Boston College,-71.16272,42.31903,15619,MA
02168,Waban,-71.230703,42.327049,5759,MA
02169,Quincy,-70.997816,42.249133,48920,MA
02170,Quincy,-71.018644,42.26713,18330,MA
02171,Quincy,-71.024141,42.282519,18251,MA
02172,East Watertown,-71.180266,42.371497,33930,MA
02173,Lexington,-71.225916,42.445384,28994,MA
02174,Arlington,-71.162517,42.417098,44539,MA
02176,Melrose,-71.063191,42.458066,28228,MA
02178,Belmont,-71.174647,42.389656,24733,MA
02180,Stoneham,-71.0978,42.482778,22147,MA
02181,Wellesley,-71.287966,42.305593,26615,MA
02184,Braintree,-70.996304,42.209284,33836,MA
02186,Milton,-71.077051,42.253663,25558,MA
02188,Weymouth,-70.958248,42.211327,13187,MA
02189,Weymouth,-70.931671,42.211606,14055,MA
02190,Weymouth,-70.94869,42.172817,17668,MA
02191,Weymouth,-70.944318,42.243564,9153,MA
02192,Needham,-71.235172,42.278908,19570,MA
02193,Weston,-71.300291,42.359422,10221,MA
02194,Needham,-71.234363,42.297702,8006,MA
02199,Boston,-71.082543,42.347873,886,MA
02210,Boston,-71.046511,42.348921,308,MA
02215,Boston,-71.102689,42.347088,17769,MA
02322,Avon,-71.043738,42.125825,4594,MA
02324,Bridgewater,-70.97234,41.977341,21198,MA
02330,Carver,-70.767754,41.888265,10573,MA
02332,Duxbury,-70.716257,42.039936,13913,MA
02333,East Bridgewater,-70.944964,42.031478,11104,MA
02338,Halifax,-70.844794,42.000159,6526,MA
02339,Hanover,-70.857006,42.121406,11912,MA
02341,Hanson,-70.865053,42.061627,9037,MA
02343,Holbrook,-71.008273,42.14641,11041,MA
02346,Middleboro,-70.892965,41.888396,17867,MA
02347,Lakeville,-70.958195,41.837377,7785,MA
02351,Abington,-70.954293,42.116715,13849,MA
02356,North Easton,-71.112337,42.058956,10397,MA
02359,Pembroke,-70.804404,42.062072,14535,MA
02360,Plymouth,-70.642004,41.910404,45629,MA
02364,Kingston,-70.740993,41.995022,9045,MA
02367,Plympton,-70.804582,41.96549,2384,MA
02368,Randolph,-71.051392,42.173587,30057,MA
02370,Rockland,-70.913263,42.129286,16123,MA
02375,South Easton,-71.098814,42.025704,9247,MA
